ramet,Block,Pair,location,ID,Placement,DatePlanted,trt,Date
C,15,75,North,FR1,left,4/23/2021,HCMS,6/25/2021
C,15,76,North,PI5,right,4/23/2021,HCMS,6/25/2021
C,15,77,North,PI2,right,4/23/2021,HCMS,6/25/2021
C,15,78,North,FR6,right,4/23/2021,HCMS,6/27/2021
D,16,79,North,PI30,right,4/29/2021,HCMS,6/27/2021
D,16,80,North,PI25,left,4/29/2021,HCMS,6/27/2021
D,16,81,North,FR1,left,4/29/2021,HCMS,
D,16,82,North,PI28,right,4/29/2021,HCMS,6/27/2021
D,16,83,North,FR2,left,4/29/2021,HCMS,6/27/2021
D,17,84,North,PI11,left,5/6/2021,HCMS,7/1/2021
D,17,85,North,PI19,left,5/6/2021,HCMS,7/1/2021
D,17,86,North,PI15,left,5/6/2021,HCMS,7/1/2021
D,17,87,North,PI21,right,5/6/2021,HCMS,7/1/2021
D,17,88,North,PI4,right,5/6/2021,HCMS,7/1/2021
D,18,89,North,PI3,left,5/14/2021,HCMS,7/9/2021
D,18,90,North,PI1,right,5/14/2021,HCMS,7/9/2021
D,18,91,North,PI9,left,5/14/2021,HCMS,7/9/2021
D,18,92,North,PI12,right,5/14/2021,HCMS,7/9/2021
D,18,93,North,FR8,left,5/14/2021,HCMS,7/9/2021
D,19,94,North,PI5,left,5/21/2021,HCMS,7/17/2021
D,19,95,North,PI27,left,5/21/2021,HCMS,7/17/2021
D,19,96,North,FR11,right,5/21/2021,HCMS,7/17/2021
D,19,97,North,PI14,right,5/21/2021,HCMS,7/17/2021
D,19,98,North,FR12,left,5/21/2021,HCMS,7/17/2021
D,20,99,North,PI18,left,5/28/2021,HCMS,7/21/2021
D,20,100,North,PI13,left,5/28/2021,HCMS,7/21/2021
D,20,101,North,PI10,left,5/28/2021,HCMS,7/21/2021
D,20,102,North,PI2,left,5/28/2021,HCMS,7/21/2021
D,20,103,North,FR10,left,5/28/2021,HCMS,7/21/2021
D,20,104,North,FR6,left,5/28/2021,HCMS,7/21/2021
A,1,1,South,OP5,right,12/15/2020,HCMS,2/26/2021
A,1,2,South,OP1,right,12/15/2020,HCMS,2/26/2021
A,1,3,South,OP4,left,12/15/2020,HCMS,2/26/2021
A,1,4,South,CE2,right,12/15/2020,HCMS,2/26/2021
A,1,5,South,CE1,right,12/15/2020,HCMS,2/26/2021
A,2,6,South,CE9,right,12/22/2020,HCMS,3/5/2021
A,2,7,South,OP3,left,12/22/2020,HCMS,4/9/2021
A,2,8,South,CE7b,left,12/22/2020,HCMS,3/5/2021
A,2,9,South,CE3,right,12/22/2020,HCMS,3/5/2021
A,2,10,South,CE8,left,12/22/2020,HCMS,3/5/2021
A,3,11,South,PL5,left,1/15/2021,HCMS,3/27/2021
A,3,12,South,PL4,left,1/15/2021,HCMS,3/27/2021
A,3,13,South,CE7a,right,1/15/2021,HCMS,3/27/2021
A,3,14,South,OP8,right,1/15/2021,HCMS,3/27/2021
A,3,15,South,RE3,left,1/15/2021,HCMS,3/27/2021
A,4,16,South,CE4,left,1/22/2021,HCMS,4/3/2021
A,4,17,South,PL2,right,1/22/2021,HCMS,4/3/2021
A,4,18,South,CE11,right,1/22/2021,HCMS,4/3/2021
A,4,19,South,OP7,left,1/22/2021,HCMS,4/3/2021
A,4,20,South,OP9,left,1/22/2021,HCMS,4/3/2021
A,4,21,South,CE10,left,1/22/2021,HCMS,4/3/2021
A,5,22,South,CE5,left,3/5/2021,HCMS,4/30/2021
A,5,23,South,CE6,right,3/5/2021,HCMS,4/30/2021
A,5,24,South,OP2,right,3/5/2021,HCMS,4/30/2021
A,5,25,South,OP6,left,3/5/2021,HCMS,4/30/2021
A,5,26,South,RE5,left,3/5/2021,HCMS,4/30/2021
B,6,27,South,CE10,left,2/9/2021,HCMS,4/9/2021
B,6,28,South,PL2,right,2/9/2021,HCMS,4/9/2021
B,6,29,South,CE7a,right,2/9/2021,HCMS,
B,6,30,South,PL4,left,2/9/2021,HCMS,
B,6,31,South,OP6,left,2/9/2021,HCMS,4/9/2021
B,7,32,South,OP2,right,2/19/2021,HCMS,4/15/2021
B,7,33,South,OP1,left,2/19/2021,HCMS,4/15/2021
B,7,34,South,CE8,right,2/19/2021,HCMS,4/15/2021
B,7,35,South,RE3,left,2/19/2021,HCMS,4/15/2021
B,7,36,South,CE6,left,2/19/2021,HCMS,4/15/2021
B,8,37,South,CE2,right,2/26/2021,HCMS,4/23/2021
B,8,38,South,OP4,right,2/26/2021,HCMS,4/23/2021
B,8,39,South,OP8,left,2/26/2021,HCMS,4/23/2021
B,8,40,South,CE1,right,2/26/2021,HCMS,4/23/2021
B,8,41,South,CE11,right,2/26/2021,HCMS,4/23/2021
B,9,42,South,CE5,left,3/12/2021,HCMS,6/24/2021
B,9,43,South,CE4,right,3/12/2021,HCMS,6/24/2021
B,9,44,South,CE9,left,3/12/2021,HCMS,6/24/2021
B,9,45,South,CE7b,left,3/12/2021,HCMS,6/24/2021
B,9,46,South,PL5,left,3/12/2021,HCMS,
B,10,47,South,OP7,left,3/19/2021,HCMS,5/7/2021
B,10,48,South,OP5,right,3/19/2021,HCMS,5/7/2021
B,10,49,South,OP9,right,3/19/2021,HCMS,5/7/2021
B,10,50,South,RE5,right,3/19/2021,HCMS,5/7/2021
B,10,51,South,OP3,right,3/19/2021,HCMS,5/7/2021
B,10,52,South,CE3,left,3/19/2021,HCMS,6/24/2021
C,11,53,South,CE8,right,3/27/2021,HCMS,5/21/2021
C,11,54,South,CE6,right,3/27/2021,HCMS,5/21/2021
C,11,55,South,OP4,right,3/27/2021,HCMS,5/21/2021
C,11,56,South,CE10,right,3/27/2021,HCMS,5/21/2021
C,11,57,South,CE7a,left,3/27/2021,HCMS,5/21/2021
C,12,58,South,CE9,left,4/2/2021,HCMS,5/28/2021
C,12,59,South,CE2,left,4/2/2021,HCMS,5/28/2021
C,12,60,South,OP5,left,4/2/2021,HCMS,5/28/2021
C,12,61,South,OP1,right,4/2/2021,HCMS,5/28/2021
C,12,62,South,RE5,left,4/2/2021,HCMS,5/28/2021
C,13,63,South,OP6,left,4/8/2021,HCMS,6/4/2021
C,13,64,South,OP9,right,4/8/2021,HCMS,6/4/2021
C,13,65,South,CE7b,left,4/8/2021,HCMS,6/4/2021
C,13,66,South,PL4,left,4/8/2021,HCMS,6/4/2021
C,13,67,South,CE3,right,4/8/2021,HCMS,6/4/2021
C,14,68,South,OP7,left,4/15/2021,HCMS,6/11/2021
C,14,69,South,OP2,left,4/15/2021,HCMS,6/11/2021
C,14,70,South,OP8,right,4/15/2021,HCMS,6/11/2021
C,14,71,South,CE11,left,4/15/2021,HCMS,6/11/2021
C,14,72,South,CE5,right,4/15/2021,HCMS,
C,15,73,South,RE3,right,4/23/2021,HCMS,6/25/2021
C,15,74,South,CE1,right,4/23/2021,HCMS,6/25/2021
C,15,75,South,CE4,left,4/23/2021,HCMS,6/25/2021
C,15,76,South,PL5,right,4/23/2021,HCMS,6/25/2021
C,15,77,South,PL2,right,4/23/2021,HCMS,6/25/2021
C,15,78,South,OP3,right,4/23/2021,HCMS,6/27/2021
D,16,79,South,CE2,right,4/29/2021,HCMS,6/27/2021
D,16,80,South,CE6,left,4/29/2021,HCMS,6/27/2021
D,16,81,South,CE4,left,4/29/2021,HCMS,
D,16,82,South,OP3,right,4/29/2021,HCMS,6/27/2021
D,16,83,South,CE8,left,4/29/2021,HCMS,6/27/2021
D,17,84,South,OP8,left,5/6/2021,HCMS,7/1/2021
D,17,85,South,OP9,left,5/6/2021,HCMS,7/1/2021
D,17,86,South,PL5,left,5/6/2021,HCMS,7/1/2021
D,17,87,South,CE11,right,5/6/2021,HCMS,7/1/2021
D,17,88,South,RE3,right,5/6/2021,HCMS,7/1/2021
D,18,89,South,RE5,left,5/14/2021,HCMS,7/9/2021
D,18,90,South,OP4,right,5/14/2021,HCMS,7/9/2021
D,18,91,South,CE10,left,5/14/2021,HCMS,7/9/2021
D,18,92,South,CE7b,right,5/14/2021,HCMS,7/9/2021
D,18,93,South,OP5,left,5/14/2021,HCMS,7/9/2021
D,19,94,South,PL4,left,5/21/2021,HCMS,7/17/2021
D,19,95,South,CE5,left,5/21/2021,HCMS,7/17/2021
D,19,96,South,CE7a,right,5/21/2021,HCMS,7/17/2021
D,19,97,South,CE3,right,5/21/2021,HCMS,7/17/2021
D,19,98,South,CE9,left,5/21/2021,HCMS,7/17/2021
D,20,99,South,OP7,left,5/28/2021,HCMS,7/21/2021
D,20,100,South,OP1,left,5/28/2021,HCMS,7/21/2021
D,20,101,South,CE1,left,5/28/2021,HCMS,7/21/2021
D,20,102,South,OP6,left,5/28/2021,HCMS,7/21/2021
D,20,103,South,OP2,left,5/28/2021,HCMS,7/21/2021
D,20,104,South,PL2,left,5/28/2021,HCMS,7/21/2021
A,1,1,North,PI28,right,12/15/2020,CCMS,4/23/2021
A,1,2,North,PI9,right,12/15/2020,CCMS,4/23/2021
A,1,3,North,PI10,left,12/15/2020,CCMS,4/23/2021
A,1,4,North,PI4,right,12/15/2020,CCMS,4/23/2021
A,1,5,North,PI1,right,12/15/2020,CCMS,4/23/2021
A,2,6,North,PI15,right,12/22/2020,CCMS,4/30/2021
A,2,7,North,FR2,left,12/22/2020,CCMS,4/30/2021
A,2,8,North,PI21,left,12/22/2020,CCMS,4/30/2021
A,2,9,North,FR12,right,12/22/2020,CCMS,4/30/2021
A,2,10,North,FR1,left,12/22/2020,CCMS,4/30/2021
A,3,11,North,PI12,left,1/15/2021,CCMS,5/7/2021
A,3,12,North,PI14,left,1/15/2021,CCMS,5/7/2021
A,3,13,North,PI27,right,1/15/2021,CCMS,5/7/2021
A,3,14,North,PI30,right,1/15/2021,CCMS,5/7/2021
A,3,15,North,PI25,left,1/15/2021,CCMS,5/7/2021
A,4,16,North,PI5,left,1/22/2021,CCMS,5/12/2021
A,4,17,North,PI19,right,1/22/2021,CCMS,5/12/2021
A,4,18,North,PI11,right,1/22/2021,CCMS,5/12/2021
A,4,19,North,PI13,left,1/22/2021,CCMS,5/12/2021
A,4,20,North,PI3,left,1/22/2021,CCMS,5/12/2021
A,4,21,North,PI18,left,1/22/2021,CCMS,5/12/2021
A,5,22,North,FR8,left,3/5/2021,CCMS,5/21/2021
A,5,23,North,FR11,right,3/5/2021,CCMS,5/21/2021
A,5,24,North,FR6,right,3/5/2021,CCMS,5/21/2021
A,5,25,North,PI2,left,3/5/2021,CCMS,5/21/2021
A,5,26,North,FR10,left,3/5/2021,CCMS,5/21/2021
B,6,27,North,PI12,left,2/9/2021,CCMS,5/15/2021
B,6,28,North,PI2,right,2/9/2021,CCMS,5/15/2021
B,6,29,North,PI18,right,2/9/2021,CCMS,
B,6,30,North,PI11,left,2/9/2021,CCMS,
B,6,31,North,PI19,left,2/9/2021,CCMS,5/15/2021
B,7,32,North,PI1,right,2/19/2021,CCMS,5/18/2021
B,7,33,North,PI21,left,2/19/2021,CCMS,5/18/2021
B,7,34,North,PI9,right,2/19/2021,CCMS,5/18/2021
B,7,35,North,PI30,left,2/19/2021,CCMS,5/18/2021
B,7,36,North,PI25,left,2/19/2021,CCMS,5/18/2021
B,8,37,North,PI28,right,2/26/2021,CCMS,5/31/2021
B,8,38,North,PI27,right,2/26/2021,CCMS,5/31/2021
B,8,39,North,PI14,left,2/26/2021,CCMS,5/31/2021
B,8,40,North,PI13,right,2/26/2021,CCMS,5/31/2021
B,8,41,North,PI5,right,2/26/2021,CCMS,5/31/2021
B,9,42,North,FR8,left,3/12/2021,CCMS,6/3/2021
B,9,43,North,PI3,right,3/12/2021,CCMS,6/3/2021
B,9,44,North,PI4,left,3/12/2021,CCMS,6/3/2021
B,9,45,North,PI15,left,3/12/2021,CCMS,6/3/2021
B,9,46,North,FR12,left,3/12/2021,CCMS,
B,10,47,North,FR6,left,3/19/2021,CCMS,6/7/2021
B,10,48,North,FR2,right,3/19/2021,CCMS,6/7/2021
B,10,49,North,FR1,right,3/19/2021,CCMS,6/7/2021
B,10,50,North,FR10,right,3/19/2021,CCMS,6/7/2021
B,10,51,North,PI10,right,3/19/2021,CCMS,6/7/2021
B,10,52,North,FR11,left,3/19/2021,CCMS,6/7/2021
C,11,53,North,PI4,right,3/27/2021,CCMS,6/9/2021
C,11,54,North,PI3,right,3/27/2021,CCMS,6/9/2021
C,11,55,North,PI25,right,3/27/2021,CCMS,6/9/2021
C,11,56,North,PI15,right,3/27/2021,CCMS,6/9/2021
C,11,57,North,PI13,left,3/27/2021,CCMS,6/9/2021
C,12,58,North,PI12,left,4/2/2021,CCMS,6/16/2021
C,12,59,North,PI14,left,4/2/2021,CCMS,6/16/2021
C,12,60,North,PI11,left,4/2/2021,CCMS,6/16/2021
C,12,61,North,PI1,right,4/2/2021,CCMS,6/16/2021
C,12,62,North,PI10,left,4/2/2021,CCMS,6/16/2021
C,13,63,North,FR10,left,4/8/2021,CCMS,6/18/2021
C,13,64,North,FR12,right,4/8/2021,CCMS,6/18/2021
C,13,65,North,PI30,left,4/8/2021,CCMS,6/18/2021
C,13,66,North,PI21,left,4/8/2021,CCMS,6/18/2021
C,13,67,North,PI27,right,4/8/2021,CCMS,6/18/2021
C,14,68,North,FR11,left,4/15/2021,CCMS,6/25/2021
C,14,69,North,PI28,left,4/15/2021,CCMS,6/25/2021
C,14,70,North,FR2,right,4/15/2021,CCMS,6/25/2021
C,14,71,North,PI18,left,4/15/2021,CCMS,6/25/2021
C,14,72,North,FR8,right,4/15/2021,CCMS,
C,15,73,North,PI19,right,4/23/2021,CCMS,7/1/2021
C,15,74,North,PI9,right,4/23/2021,CCMS,7/1/2021
C,15,75,North,FR1,left,4/23/2021,CCMS,7/1/2021
C,15,76,North,PI5,right,4/23/2021,CCMS,7/1/2021
C,15,77,North,PI2,right,4/23/2021,CCMS,7/1/2021
C,15,78,North,FR6,right,4/23/2021,CCMS,7/1/2021
D,16,79,North,PI30,right,4/29/2021,CCMS,7/11/2021
D,16,80,North,PI25,left,4/29/2021,CCMS,7/11/2021
D,16,81,North,FR1,left,4/29/2021,CCMS,
D,16,82,North,PI28,right,4/29/2021,CCMS,7/11/2021
D,16,83,North,FR2,left,4/29/2021,CCMS,7/11/2021
D,17,84,North,PI11,left,5/6/2021,CCMS,7/16/2021
D,17,85,North,PI19,left,5/6/2021,CCMS,7/16/2021
D,17,86,North,PI15,left,5/6/2021,CCMS,7/16/2021
D,17,87,North,PI21,right,5/6/2021,CCMS,7/16/2021
D,17,88,North,PI4,right,5/6/2021,CCMS,7/16/2021
D,18,89,North,PI3,left,5/14/2021,CCMS,7/18/2021
D,18,90,North,PI1,right,5/14/2021,CCMS,7/18/2021
D,18,91,North,PI9,left,5/14/2021,CCMS,7/18/2021
D,18,92,North,PI12,right,5/14/2021,CCMS,7/18/2021
D,18,93,North,FR8,left,5/14/2021,CCMS,7/18/2021
D,19,94,North,PI5,left,5/21/2021,CCMS,7/28/2021
D,19,95,North,PI27,left,5/21/2021,CCMS,7/28/2021
D,19,96,North,FR11,right,5/21/2021,CCMS,7/28/2021
D,19,97,North,PI14,right,5/21/2021,CCMS,7/28/2021
D,19,98,North,FR12,left,5/21/2021,CCMS,7/28/2021
D,20,99,North,PI18,left,5/28/2021,CCMS,7/26/2021
D,20,100,North,PI13,left,5/28/2021,CCMS,7/26/2021
D,20,101,North,PI10,left,5/28/2021,CCMS,7/26/2021
D,20,102,North,PI2,left,5/28/2021,CCMS,7/26/2021
D,20,103,North,FR10,left,5/28/2021,CCMS,7/26/2021
D,20,104,North,FR6,left,5/28/2021,CCMS,7/26/2021
A,1,1,South,OP5,right,12/15/2020,CCMS,4/23/2021
A,1,2,South,OP1,right,12/15/2020,CCMS,4/23/2021
A,1,3,South,OP4,left,12/15/2020,CCMS,4/23/2021
A,1,4,South,CE2,right,12/15/2020,CCMS,4/23/2021
A,1,5,South,CE1,right,12/15/2020,CCMS,4/23/2021
A,2,6,South,CE9,right,12/22/2020,CCMS,4/30/2021
A,2,7,South,OP3,left,12/22/2020,CCMS,4/30/2021
A,2,8,South,CE7b,left,12/22/2020,CCMS,4/30/2021
A,2,9,South,CE3,right,12/22/2020,CCMS,4/30/2021
A,2,10,South,CE8,left,12/22/2020,CCMS,4/30/2021
A,3,11,South,PL5,left,1/15/2021,CCMS,5/7/2021
A,3,12,South,PL4,left,1/15/2021,CCMS,5/7/2021
A,3,13,South,CE7a,right,1/15/2021,CCMS,5/7/2021
A,3,14,South,OP8,right,1/15/2021,CCMS,5/7/2021
A,3,15,South,RE3,left,1/15/2021,CCMS,5/7/2021
A,4,16,South,CE4,left,1/22/2021,CCMS,5/12/2021
A,4,17,South,PL2,right,1/22/2021,CCMS,5/12/2021
A,4,18,South,CE11,right,1/22/2021,CCMS,5/12/2021
A,4,19,South,OP7,left,1/22/2021,CCMS,5/12/2021
A,4,20,South,OP9,left,1/22/2021,CCMS,5/12/2021
A,4,21,South,CE10,left,1/22/2021,CCMS,5/12/2021
A,5,22,South,CE5,left,3/5/2021,CCMS,5/21/2021
A,5,23,South,CE6,right,3/5/2021,CCMS,5/21/2021
A,5,24,South,OP2,right,3/5/2021,CCMS,5/21/2021
A,5,25,South,OP6,left,3/5/2021,CCMS,5/21/2021
A,5,26,South,RE5,left,3/5/2021,CCMS,5/21/2021
B,6,27,South,CE10,left,2/9/2021,CCMS,5/15/2021
B,6,28,South,PL2,right,2/9/2021,CCMS,5/15/2021
B,6,29,South,CE7a,right,2/9/2021,CCMS,
B,6,30,South,PL4,left,2/9/2021,CCMS,
B,6,31,South,OP6,left,2/9/2021,CCMS,5/15/2021
B,7,32,South,OP2,right,2/19/2021,CCMS,5/18/2021
B,7,33,South,OP1,left,2/19/2021,CCMS,5/18/2021
B,7,34,South,CE8,right,2/19/2021,CCMS,5/18/2021
B,7,35,South,RE3,left,2/19/2021,CCMS,5/18/2021
B,7,36,South,CE6,left,2/19/2021,CCMS,5/18/2021
B,8,37,South,CE2,right,2/26/2021,CCMS,5/31/2021
B,8,38,South,OP4,right,2/26/2021,CCMS,5/31/2021
B,8,39,South,OP8,left,2/26/2021,CCMS,5/31/2021
B,8,40,South,CE1,right,2/26/2021,CCMS,5/31/2021
B,8,41,South,CE11,right,2/26/2021,CCMS,5/31/2021
B,9,42,South,CE5,left,3/12/2021,CCMS,6/3/2021
B,9,43,South,CE4,right,3/12/2021,CCMS,6/3/2021
B,9,44,South,CE9,left,3/12/2021,CCMS,6/3/2021
B,9,45,South,CE7b,left,3/12/2021,CCMS,6/3/2021
B,9,46,South,PL5,left,3/12/2021,CCMS,
B,10,47,South,OP7,left,3/19/2021,CCMS,6/7/2021
B,10,48,South,OP5,right,3/19/2021,CCMS,6/7/2021
B,10,49,South,OP9,right,3/19/2021,CCMS,6/7/2021
B,10,50,South,RE5,right,3/19/2021,CCMS,6/7/2021
B,10,51,South,OP3,right,3/19/2021,CCMS,6/7/2021
B,10,52,South,CE3,left,3/19/2021,CCMS,6/7/2021
C,11,53,South,CE8,right,3/27/2021,CCMS,6/9/2021
C,11,54,South,CE6,right,3/27/2021,CCMS,6/9/2021
C,11,55,South,OP4,right,3/27/2021,CCMS,6/9/2021
C,11,56,South,CE10,right,3/27/2021,CCMS,6/9/2021
C,11,57,South,CE7a,left,3/27/2021,CCMS,6/9/2021
C,12,58,South,CE9,left,4/2/2021,CCMS,6/16/2021
C,12,59,South,CE2,left,4/2/2021,CCMS,6/16/2021
C,12,60,South,OP5,left,4/2/2021,CCMS,6/16/2021
C,12,61,South,OP1,right,4/2/2021,CCMS,6/16/2021
C,12,62,South,RE5,left,4/2/2021,CCMS,6/16/2021
C,13,63,South,OP6,left,4/8/2021,CCMS,6/18/2021
C,13,64,South,OP9,right,4/8/2021,CCMS,6/18/2021
C,13,65,South,CE7b,left,4/8/2021,CCMS,6/18/2021
C,13,66,South,PL4,left,4/8/2021,CCMS,6/18/2021
C,13,67,South,CE3,right,4/8/2021,CCMS,6/18/2021
C,14,68,South,OP7,left,4/15/2021,CCMS,6/25/2021
C,14,69,South,OP2,left,4/15/2021,CCMS,6/25/2021
C,14,70,South,OP8,right,4/15/2021,CCMS,6/25/2021
C,14,71,South,CE11,left,4/15/2021,CCMS,6/25/2021
C,14,72,South,CE5,right,4/15/2021,CCMS,
C,15,73,South,RE3,right,4/23/2021,CCMS,7/1/2021
C,15,74,South,CE1,right,4/23/2021,CCMS,7/1/2021
C,15,75,South,CE4,left,4/23/2021,CCMS,7/1/2021
C,15,76,South,PL5,right,4/23/2021,CCMS,7/1/2021
C,15,77,South,PL2,right,4/23/2021,CCMS,7/1/2021
C,15,78,South,OP3,right,4/23/2021,CCMS,7/1/2021
D,16,79,South,CE2,right,4/29/2021,CCMS,7/11/2021
D,16,80,South,CE6,left,4/29/2021,CCMS,7/11/2021
D,16,81,South,CE4,left,4/29/2021,CCMS,
D,16,82,South,OP3,right,4/29/2021,CCMS,7/11/2021
D,16,83,South,CE8,left,4/29/2021,CCMS,7/11/2021
D,17,84,South,OP8,left,5/6/2021,CCMS,7/16/2021
D,17,85,South,OP9,left,5/6/2021,CCMS,7/16/2021
D,17,86,South,PL5,left,5/6/2021,CCMS,7/16/2021
D,17,87,South,CE11,right,5/6/2021,CCMS,7/16/2021
D,17,88,South,RE3,right,5/6/2021,CCMS,7/16/2021
D,18,89,South,RE5,left,5/14/2021,CCMS,7/18/2021
D,18,90,South,OP4,right,5/14/2021,CCMS,7/18/2021
D,18,91,South,CE10,left,5/14/2021,CCMS,7/18/2021
D,18,92,South,CE7b,right,5/14/2021,CCMS,7/18/2021
D,18,93,South,OP5,left,5/14/2021,CCMS,7/18/2021
D,19,94,South,PL4,left,5/21/2021,CCMS,7/28/2021
D,19,95,South,CE5,left,5/21/2021,CCMS,7/28/2021
D,19,96,South,CE7a,right,5/21/2021,CCMS,7/28/2021
D,19,97,South,CE3,right,5/21/2021,CCMS,7/28/2021
D,19,98,South,CE9,left,5/21/2021,CCMS,7/28/2021
D,20,99,South,OP7,left,5/28/2021,CCMS,7/26/2021
D,20,100,South,OP1,left,5/28/2021,CCMS,7/26/2021
D,20,101,South,CE1,left,5/28/2021,CCMS,7/26/2021
D,20,102,South,OP6,left,5/28/2021,CCMS,7/26/2021
D,20,103,South,OP2,left,5/28/2021,CCMS,7/26/2021
D,20,104,South,PL2,left,5/28/2021,CCMS,7/26/2021
