ID,Region,Population,Block,FirstFlower,SecondFlower,Herm,Stam,OV_1,OV_2,OV_3,Pollen
PI12,North,PI,B,2/12/2022,3/3/2022,0,1,,,,3/5/2022
PI13,North,PI,A,2/12/2022,2/25/2022,1,0,,,,
PI13,North,PI,B,2/21/2022,,,,,,,
PI14,North,PI,A,2/11/2022,2/21/2022,,,3/5/2022,3/5/2022,3/5/2022,3/5/2022
PI14,North,PI,B,2/14/2022,3/5/2022,,,,,,
PI15,North,PI,A,2/14/2022,2/25/2022,,,,,,3/5/2022
PI15,North,PI,B,2/16/2022,,,,,,,
PI18,North,PI,A,2/17/2022,3/4/2022,1,0,,,,
PI18,North,PI,B,2/26/2022,,,,,,,
PI19,North,PI,A,2/19/2022,,,,,,,
PI19,North,PI,B,2/11/2022,2/24/2022,,,3/5/2022,,,3/5/2022
PI2,North,PI,A,2/14/2022,3/3/2022,0,1,,,,3/5/2022
PI2,North,PI,B,2/15/2022,2/21/2022,1,0,,,,
PI21,North,PI,A,2/11/2022,2/22/2022,1,0,3/5/2022,3/5/2022,3/5/2022,3/5/2022
PI21,North,PI,B,2/15/2022,3/6/2022,,,,,,
PI25,North,PI,A,2/14/2022,2/28/2022,1,0,,,,3/5/2022
PI25,North,PI,B,2/15/2022,3/3/2022,1,0,,,,
PI27,North,PI,A,2/9/2022,2/17/2022,,,3/5/2022,3/5/2022,3/5/2022,3/5/2022
PI27,North,PI,B,2/16/2022,3/4/2022,0,1,,,,3/5/2022
PI28,North,PI,A,2/13/2022,2/20/2022,0,1,,,,3/5/2022
PI28,North,PI,B,2/23/2022,,,,,,,
PI3,North,PI,A,2/18/2022,3/6/2022,,,,,,
PI30,North,PI,A,2/10/2022,2/22/2022,1,0,3/5/2022,3/5/2022,3/5/2022,3/5/2022
PI3,North,PI,B,2/16/2022,2/26/2022,1,0,,,,3/5/2022
PI30,North,PI,B,2/13/2022,2/25/2022,1,0,,,,
PI4,North,PI,A,2/12/2022,2/22/2022,1,0,,,,
PI4,North,PI,B,2/9/2022,,,,,,,
PI5,North,PI,A,2/17/2022,3/3/2022,1,1,,,,3/5/2022
PI5,North,PI,B,2/12/2022,3/3/2022,1,0,,,,3/5/2022
PI9,North,PI,A,2/13/2022,3/1/2022,1,1,,,,3/5/2022
PI9,North,PI,B,2/14/2022,2/26/2022,1,0,3/5/2022,3/5/2022,3/5/2022,3/5/2022
PL2,South,PL,A,,,,,,,,
PL2,South,PL,B,,,,,,,,
PL4,South,PL,A,,,,,,,,
PL4,South,PL,B,,,,,,,,
PL5,South,PL,A,,,,,,,,
PL5,South,PL,B,,,,,,,,
RE3,South,RE,A,,,,,,,,
RE3,South,RE,B,,,,,,,,
RE5,South,RE,A,,,,,,,,
RE5,South,RE,B,,,,,,,,
