Measurement,Date,ID,Block,Ramet,Photo,,Obs,HHMMSS,FTime,Cond,Ci,Trmmol,VpdL,Area,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,Status,,,
Final,19-Sep,CE2     ,1,a                                     ,15.9,,14,12:20:30,2250,0.104,130,3.31,3.08,2.3,1,4.46,28.04,26.71,27.97,399.4,391.51,2.971,4.486,7.57,11.43,499.7,401,0,96.91,0.428,0.0224,0.7,111115,,,
Initial,13-Oct,CE2     ,7,b                                     ,27.2,,38,12:39:13,3987.5,0.134,61.8,4.29,3.12,2.3,1,4.46,27.83,26.2,27.86,420.46,407.14,1.049,3.02,2.7,7.76,499.8,401,1,96.52,-8.64,0.13,0.7,111115,CE2     ,CE2     ,7
Final,16-Oct,CE2     ,8,b                                     ,12.4,,15,12:56:41,2324.5,0.123,232,3.66,2.95,2.3,1,4.46,26.52,25.16,26.48,419.5,413.07,0.933,2.614,2.63,7.38,499.7,399,1,98.23,-10.3,0.102,0.7,111115,CE2     ,8,b                                     
Initial,22-Oct,CE2     ,12,c                                     ,24.3,,38,14:29:47,3556,0.092,-29.6,2.56,2.76,2.3,1,4.46,24.27,23.23,24.24,420.25,408.59,-0.174,1.004,-0.56,3.25,499.7,401,1,98.6,-9.36,0.0288,0.7,111115,CE2     ,,
Final,25-Oct,CE2     ,12,c                                     ,20.5,,13,12:09:52,1484.5,0.134,147,3.3,2.48,2.3,1,4.46,22.56,21.68,22.5,420.12,410.08,-0.232,1.285,-0.83,4.62,499.8,399,1,98.74,-9.69,0.0837,0.7,111115,CE2     ,,
Initial,19-Oct,CE2     ,16,d                                     ,17.5,,35,14:38:49,2958.5,0.124,167,3.59,2.86,2.3,1,4.46,25.29,24.22,25.25,419.65,410.91,0.148,1.796,0.45,5.45,499.7,400,1,98.11,-8.9,0.105,0.7,111115,CE2     ,,
Final,22-Oct,CE2     ,16,d                                     ,16.9,,14,13:56:35,1563.5,0.11,149,3.03,2.73,2.3,1,4.46,24.22,23.3,24.11,419.45,411.11,0.006,1.398,0.02,4.55,499.7,401,1,98.63,-9.36,0.0288,0.7,111115,CE2     ,,
Initial,4-Oct,CE3     ,2,a                                     ,35.2,,29,12:46:00,2944.5,0.0687,-428,2.61,3.72,2.3,1,4.46,30.38,28.74,30.47,419.06,402.37,1.286,2.485,2.91,5.62,499.7,400,101,98.48,-8.45,0.0825,0.7,111115,,,
Final,7-Oct,CE3     ,2,a                                     ,20.3,,17,11:49:39,2934.5,0.0861,17,2.42,2.76,2.3,1,4.46,24.79,23.98,24.72,419.11,409.33,1.213,2.323,3.79,7.26,499.7,399,1,98.2,-7.01,0.116,0.7,111115,,,
Initial,13-Oct,CE3     ,10,b                                     ,29.5,,43,12:46:59,4453.5,0.0912,-130,3.08,3.26,2.3,1,4.46,27.76,26.62,27.79,418.67,404.51,1.021,2.436,2.63,6.28,499.7,400,1,96.51,-8.64,0.13,0.7,111115,CE3     ,CE3     ,10
Final,16-Oct,CE3     ,10,b                                     ,24.1,,19,13:05:16,2839.5,0.127,83.8,3.95,3.09,2.3,1,4.46,26.72,25.91,26.69,419.39,407.56,0.907,2.723,2.53,7.59,499.6,400,1,98.22,-10.3,0.102,1,111115,CE3     ,10,b                                     
Initial,22-Oct,CE3     ,13,c                                     ,12.3,,48,14:42:17,4306.5,0.0819,156,2.42,2.92,2.3,1,4.46,24.87,24.08,24.81,420,413.88,-0.179,0.933,-0.56,2.92,499.7,399,1,98.6,-9.36,0.0288,0.7,111115,CE3     ,,
Final,25-Oct,CE3     ,13,c                                     ,18,,22,12:25:43,2436,0.148,198,3.72,2.53,2.3,1,4.46,22.96,22.1,22.86,420.34,411.36,-0.327,1.383,-1.15,4.85,499.7,400,1,98.73,-9.69,0.0837,1,111115,CE3     ,,
Initial,31-Oct,CE3     ,19,d                                     ,42.3,,22,12:24:55,2549.5,0.233,86.7,5.3,2.33,2.3,1,4.46,23.19,21.69,23.17,419.46,399.02,0.36,2.793,1.25,9.68,499.7,400,1,98.82,-8.96,0.0883,0.7,111115,CE3     ,,
Final,3-Nov,CE3     ,19,d                                     ,37.9,,8,11:45:48,1977.5,0.333,199,6.25,1.97,2.3,1,4.46,20.93,19.36,20.91,420.9,402.28,-0.033,2.836,-0.13,11.32,499.8,401,1,99.19,-9.31,0.104,1,111115,CE3     ,,
Initial,7-Oct,CE4     ,4,a                                     ,22.9,,34,12:28:55,5291,0.076,-88.5,2.28,2.94,2.3,1,4.46,25.94,25.18,25.88,420.08,409.09,1.773,2.818,5.18,8.23,499.7,399,1,98.18,-7.01,0.116,1,111115,,,
Final,10-Oct,CE4     ,4,a                                     ,21,,11,10:31:58,1030,0.136,142,4.24,3.04,2.3,1,4.46,27.04,25.9,26.96,420.25,409.8,1.383,3.329,3.71,8.92,499.6,400,0,96.1,-8.78,0.194,1,111115,,,
Initial,28-Sep,CE4     ,9,b                                     ,37.3,,41,15:19:58,4503,0.145,-31.6,4.56,3.11,2.3,1,4.46,27.65,26.42,27.57,419.67,401.68,1.54,3.631,4.03,9.5,499.7,400,0,97.28,-5.96,0.0747,0.7,111115,,,
Final,1-Oct,CE4     ,9,b                                     ,29.1,,17,13:52:56,1462.5,0.0873,-142,2.49,2.81,2.3,1,4.46,24.99,24.16,24.89,420.09,406.23,1.06,2.201,3.28,6.81,499.7,400,0,98.35,-6.88,0.141,0.7,111115,CE4     ,9,b                                     
Initial,10-Oct,CE5     ,5,a                                     ,15.9,,33,11:20:23,3936,0.0854,95.4,2.92,3.28,2.3,1,4.46,28.3,27.21,28.3,420.17,412.3,2.238,3.576,5.57,8.9,499.7,401,1,96.12,-1.76,0.329,0.7,111115,,,
Final,13-Oct,CE5     ,5,a                                     ,7.99,,13,12:05:35,1969,0.0699,213,2.38,3.28,2.3,1,4.46,27.44,26.45,27.41,419.38,415.25,0.879,1.971,2.31,5.18,499.7,401,1,96.57,-8.64,0.13,0.7,111115,CE5     ,CE5     ,5
Initial,28-Sep,CE5     ,9,b                                     ,21.4,,38,15:14:18,4163.5,0.128,122,4.01,3.07,2.3,1,4.46,27.54,26.11,27.46,419.7,409.11,1.497,3.335,3.94,8.78,499.7,401,0,97.28,-5.96,0.0747,0.7,111115,,,
Final,1-Oct,CE5     ,9,b                                     ,19.5,,13,13:48:16,1182.5,0.132,155,3.55,2.68,2.3,1,4.46,24.67,23.65,24.58,419.42,409.78,0.957,2.588,3.02,8.16,499.7,401,0,98.35,-6.88,0.141,0.7,111115,CE5     ,9,b                                     
Initial,31-Oct,CE5     ,20,d                                     ,42.1,,18,12:15:49,2003,0.268,124,6.14,2.37,2.3,1,4.46,23.79,22.23,23.77,419.46,398.97,0.48,3.295,1.6,11.01,499.7,400,1,98.83,-8.96,0.0883,0.7,111115,CE5     ,,
Final,3-Nov,CE5     ,19,d                                     ,24.9,,5,11:38:55,1564,0.241,225,4.8,2.06,2.3,1,4.46,20.77,19.5,20.74,420.69,408.35,-0.004,2.198,-0.02,8.86,499.8,401,0,99.19,-9.31,0.104,0.7,111115,CE5     ,,
Initial,10-Oct,CE6     ,5,a                                     ,18.5,,31,11:14:56,3609,0.155,199,4.96,3.11,2.3,1,4.46,28.27,26.82,28.28,420.41,410.96,2.211,4.484,5.51,11.18,499.7,399,1,96.12,-1.76,0.329,0.7,111115,,,
Final,13-Oct,CE6     ,5,a                                     ,23.3,,11,12:02:44,1798,0.195,199,6.3,3.18,1.15,1,4.86,27.35,26.15,27.31,419.37,413.4,0.86,2.308,2.27,6.1,499.6,400,1,96.58,-8.64,0.13,0.7,111115,CE6     ,CE6     ,5
Initial,1-Oct,CE6     ,7,b                                     ,39.9,,38,14:28:38,3605.5,0.152,-37.3,4.1,2.68,2.3,1,4.46,25.58,24.13,25.52,420.39,401.29,1.513,3.391,4.52,10.13,499.7,400,0,98.34,-6.88,0.141,0.7,111115,CE6     ,7,b                                     
Final,4-Oct,CE6     ,7,b                                     ,16.7,,17,12:26:33,1778,0.129,181,4.6,3.54,2.3,1,4.46,29.73,28.47,29.74,419.21,410.68,1.505,3.616,3.53,8.49,499.7,401,94,98.48,-8.45,0.0825,0.3,111115,,,
Initial,19-Sep,CE6     ,11,c                                     ,16.7,,49,13:39:18,6977,0.0484,-172,1.7,3.37,2.3,1,4.46,28.32,27.72,28.24,400.39,392.38,3.008,3.787,7.54,9.5,499.7,401,0,96.91,-3.38,0.241,0.7,111115,,,
Final,22-Sep,CE6     ,11,c                                     ,12.1,,11,13:07:15,1272.5,0.073,112,2.17,2.93,2.3,1,4.46,25.29,24.16,25.28,399.26,393.29,-0.089,0.907,-0.27,2.77,499.6,401,0,98.83,0.741,-0.0415,0.7,111115,,,
Initial,16-Oct,CE6     ,16,d                                     ,25.3,,42,13:51:38,5622,0.0842,-88.1,2.76,3.22,2.3,1,4.46,27.11,26.09,27.09,421.43,409.25,0.499,1.767,1.36,4.82,499.7,400,1,98.23,-10.3,0.102,0.7,111115,CE6     ,,
Final,19-Oct,CE6     ,16,d                                     ,12.9,,20,14:18:55,1764.5,0.0813,143,2.41,2.91,2.3,1,4.46,24.94,24.16,24.89,419.74,413.36,0.051,1.159,0.16,3.59,499.7,400,1,98.11,-8.9,0.105,0.7,111115,CE6     ,,
Initial,7-Oct,CE7a    ,3,a                                     ,21.2,,42,12:44:04,6200.5,0.11,83.9,3.21,2.87,2.3,1,4.46,26.21,25.15,26.17,420.23,409.86,1.933,3.404,5.55,9.78,499.7,400,1,98.17,-7.01,0.116,1,111115,,,
Final,10-Oct,CE7a    ,3,a                                     ,24.8,,19,10:46:12,1884.5,0.137,96.9,4.48,3.18,2.3,1,4.46,27.83,26.89,27.79,421.1,408.83,1.855,3.907,4.74,9.99,499.7,401,0,96.11,-8.78,0.194,0.7,111115,,,
Initial,19-Sep,CE7a    ,11,c                                     ,24.6,,39,13:17:09,5647.5,0.0929,-52.1,3.06,3.19,2.3,1,4.46,28.16,27.16,28.1,399.54,387.68,3.004,4.404,7.6,11.15,499.7,400,0,96.93,-3.38,0.241,0.7,111115,,,
Final,22-Sep,CE7a    ,11,c                                     ,9.06,,2,12:48:27,144.5,0.0897,217,2.69,2.97,2.3,1,4.46,26.07,24.7,26.11,401.15,396.49,0.284,1.521,0.83,4.43,499.7,400,0,98.82,0.741,-0.0415,1,111115,,,
Initial,31-Oct,CE7a    ,19,d                                     ,29.3,,21,12:22:46,2420,0.209,160,4.89,2.39,2.3,1,4.46,23.17,21.98,23.15,419.38,404.99,0.385,2.631,1.34,9.12,499.7,399,1,98.83,-8.96,0.0883,1,111115,CE7a    ,,
Final,3-Nov,CE7a    ,19,d                                     ,17.7,,6,11:41:43,1731.5,0.21,260,4.31,2.11,2.3,1,4.46,20.85,19.68,20.81,420.8,411.85,-0.014,1.965,-0.06,7.88,499.8,399,1,99.19,-9.31,0.104,1,111115,CE7a    ,,
Initial,6-Nov,CE7a    ,21,e                                     ,17,,22,14:04:30,3557.5,0.0948,108,2.5,2.6,2.3,1,4.46,23.46,22.62,23.41,419.65,411.36,0.434,1.583,1.47,5.35,499.7,401,1,97.92,-10,0.103,0.7,111115,CE7a    ,,
Final,9-Nov,CE7a    ,21,e                                     ,6.03,,10,16:43:48,1357.5,0.0569,231,1.56,2.7,2.3,1,4.46,23.31,22.8,23.21,419.63,416.55,0.134,0.852,0.46,2.93,499.9,401,1,98.79,-8.59,0.0803,0.7,111115,CE7a    ,,
Initial,22-Sep,CE7b    ,2,a                                     ,7.32,,26,13:39:30,3207.5,0.0409,96.5,1.23,2.95,2.3,1,4.46,24.7,23.8,24.66,400.5,396.91,-0.444,0.12,-1.4,0.38,500.6,400,0,98.76,0.741,-0.0415,0.7,111115,,,
Final,25-Sep,CE7b    ,2,a                                     ,30.6,,24,13:52:32,3748.5,0.113,-46.1,3.3,2.88,2.3,1,4.46,25.53,24.04,25.53,420.11,405.42,-0.295,1.221,-0.88,3.64,499.7,401,1,97.72,-5.23,0.107,1,111115,,,
Initial,28-Sep,CE7b    ,9,b                                     ,33.8,,43,15:23:40,4726,0.15,22.2,4.73,3.1,2.3,1,4.46,27.76,26.44,27.67,419.57,403.13,1.577,3.746,4.1,9.73,499.6,400,0,97.27,-5.96,0.0747,0.7,111115,,,
Final,1-Oct,CE7b    ,9,b                                     ,28.5,,19,13:55:24,1611,0.111,-20.8,3.12,2.77,2.3,1,4.46,25.15,24.16,25.05,420.3,406.59,1.118,2.548,3.43,7.81,499.7,401,0,98.35,-6.88,0.141,0.7,111115,CE7b    ,9,b                                     
Initial,25-Oct,CE7b    ,13,c                                     ,38,,32,12:42:54,3466.5,0.209,89.4,5.04,2.45,2.3,1,4.46,22.93,21.96,22.93,419.59,401.18,-0.34,1.975,-1.2,6.95,499.7,400,1,98.73,-9.69,0.0837,0.3,111115,CE7b    ,,
Final,28-Oct,CE7b    ,13,c                                     ,36.6,,10,11:43:17,1739,0.282,171,7.11,2.57,2.3,1,4.46,25.01,23.7,24.9,420.18,402.01,0.543,3.801,1.67,11.68,499.7,401,0,97.7,-8.8,0.0808,0.7,111115,CE7b    ,,
Initial,19-Oct,CE7b    ,18,d                                     ,16.4,,41,14:47:29,3478.5,0.16,227,4.47,2.8,2.3,1,4.46,25.32,24.1,25.28,419.74,411.34,0.151,2.206,0.46,6.68,499.7,399,1,98.11,-8.9,0.105,0.7,111115,CE7b    ,,
Final,22-Oct,CE7b    ,18,d                                     ,14.7,,19,14:04:07,2016,0.0977,154,2.65,2.7,2.3,1,4.46,24.04,22.96,24.01,418.87,411.62,-0.061,1.16,-0.2,3.81,499.7,399,1,98.62,-9.36,0.0288,0.7,111115,CE7b    ,,
Initial,4-Oct,CE8     ,2,a                                     ,33.6,,26,12:41:03,2648.5,0.0735,-340,2.83,3.77,2.3,1,4.46,30.51,29.07,30.56,419.23,403.24,1.433,2.732,3.22,6.13,499.7,400,108,98.48,-8.45,0.0825,0.7,111115,,,
Final,7-Oct,CE8     ,2,a                                     ,12,,13,11:42:37,2512.5,0.171,283,4.44,2.6,2.3,1,4.46,24.52,23.53,24.43,420,413.64,1.1,3.138,3.5,9.97,499.7,400,1,98.21,-7.01,0.116,0.7,111115,,,
Initial,13-Oct,CE8     ,7,b                                     ,20.9,,37,12:37:55,3909,0.238,244,7.3,3.06,2.3,1,4.46,27.84,26.52,27.86,419.27,408.26,1.05,4.396,2.7,11.29,499.8,401,1,96.56,-8.64,0.13,0.3,111115,CE8     ,CE8     ,7
Final,16-Oct,CE8     ,7,b                                     ,10.4,,14,12:54:31,2194,0.0368,-50.2,1.21,3.19,2.3,1,4.46,26.47,25.82,26.42,421.18,416.15,0.932,1.487,2.64,4.21,499.8,400,1,98.23,-10.3,0.102,1,111115,CE8     ,7,b                                     
Initial,19-Sep,CE8     ,11,c                                     ,15.3,,50,13:41:22,7101,0.0344,-323,1.23,3.41,2.3,1,4.46,28.35,27.84,28.27,400.44,393.19,3.008,3.572,7.52,8.93,499.7,400,0,96.86,-3.38,0.241,0.7,111115,,,
Final,22-Sep,CE8     ,11,c                                     ,11,,10,13:05:28,1166,0.0649,107,1.93,2.94,2.3,1,4.46,25.34,24.13,25.32,398.69,393.28,-0.066,0.823,-0.2,2.51,499.7,400,0,98.81,0.741,-0.0415,0.3,111115,,,
Initial,16-Oct,CE8     ,16,d                                     ,25.3,,40,13:47:12,5356,0.0682,-200,2.25,3.24,2.3,1,4.46,27.07,26.1,27.05,419.82,407.73,0.542,1.578,1.48,4.31,499.7,401,1,98.24,-10.3,0.102,0.7,111115,CE8     ,,
Final,19-Oct,CE8     ,16,d                                     ,7.43,,17,14:15:10,1538.5,0.0796,248,2.37,2.92,2.3,1,4.46,24.95,24.23,24.91,419.94,416.07,0.05,1.139,0.16,3.52,499.6,399,1,98.11,-8.9,0.105,0.7,111115,CE8     ,,
Initial,4-Oct,CE9     ,2,a                                     ,31.3,,28,12:44:34,2859.5,0.0585,-459,2.27,3.79,2.3,1,4.46,30.4,29.02,30.48,419.23,404.43,1.334,2.377,3.01,5.37,499.7,400,113,98.49,-8.45,0.0825,0.7,111115,,,
Final,7-Oct,CE9     ,2,a                                     ,14.2,,16,11:48:00,2836,0.104,176,2.93,2.77,2.3,1,4.46,24.76,24.13,24.69,419.04,411.94,1.187,2.532,3.72,7.93,499.7,399,1,98.21,-7.01,0.116,0.7,111115,,,
Initial,28-Sep,CE9     ,9,b                                     ,26.5,,42,15:22:10,4635,0.117,24.9,3.87,3.23,2.3,1,4.46,27.72,26.88,27.63,419.64,406.7,1.564,3.339,4.08,8.7,499.7,400,0,97.27,-5.96,0.0747,0.7,111115,,,
Final,1-Oct,CE9     ,9,b                                     ,21.6,,16,13:51:53,1400,0.124,110,3.38,2.72,2.3,1,4.46,24.92,23.88,24.81,418.5,407.93,1.039,2.589,3.23,8.05,499.7,400,0,98.39,-6.88,0.141,0.7,111115,CE9     ,9,b                                     
Initial,22-Oct,CE9     ,12,c                                     ,8.72,,46,14:39:34,4143.5,0.0556,148,1.69,2.98,2.3,1,4.46,24.82,24.26,24.72,420.33,415.99,-0.167,0.609,-0.52,1.91,499.7,401,1,98.6,-9.36,0.0288,0.7,111115,CE9     ,,
Final,25-Oct,CE9     ,12,c                                     ,15.2,,21,12:24:16,2349,0.0873,118,2.29,2.61,2.3,1,4.46,22.79,22.15,22.71,420.39,412.96,-0.338,0.717,-1.2,2.54,499.8,400,1,98.73,-9.69,0.0837,0.7,111115,CE9     ,,
Initial,4-Oct,FR1     ,2,a                                     ,27.7,,30,12:47:21,3026.5,0.0402,-696,1.56,3.77,2.3,1,4.46,30.24,28.74,30.35,419.07,406.02,1.224,1.941,2.79,4.42,499.7,400,78,98.49,-8.45,0.0825,0.7,111115,,,
Final,7-Oct,FR1     ,2,a                                     ,11.7,,18,11:51:16,3031.5,0.0396,-70.7,1.17,2.87,2.3,1,4.46,24.8,24.28,24.74,419.15,413.55,1.239,1.775,3.87,5.55,499.7,401,0,98.21,-7.01,0.116,1,111115,,,
Initial,28-Sep,FR1     ,10,b                                     ,29.7,,45,15:27:06,4932,0.152,70.4,4.76,3.09,2.3,1,4.46,27.78,26.4,27.71,419.49,404.92,1.592,3.773,4.13,9.8,499.7,400,0,97.27,-5.96,0.0747,0.7,111115,,,
Final,1-Oct,FR1     ,10,b                                     ,19.9,,20,13:56:32,1678.5,0.026,-814,0.794,2.98,2.3,1,4.46,25.22,24.71,25.12,420.04,410.72,1.145,1.51,3.49,4.61,499.7,399,0,98.35,-6.88,0.141,0.7,111115,FR1     ,10,b                                     
Initial,28-Oct,FR1     ,15,c                                     ,9.96,,21,12:21:50,4052,0.0528,96.5,1.65,3.04,2.3,1,4.46,25.61,24.97,25.56,419.06,414.16,0.647,1.405,1.92,4.17,499.7,401,1,97.75,-9.26,0.11,1,111115,FR1     ,,
Final,31-Oct,FR1     ,15,c                                     ,8.22,,7,11:52:55,628.5,0.0482,129,1.26,2.57,2.3,1,4.46,22.52,22.03,22.45,419.99,415.97,0.318,0.896,1.15,3.23,499.9,400,1,98.83,-8.96,0.0883,1,111115,FR1     ,,
Initial,16-Sep,FR10,13,c,22.1,,35,12:55:33,4674,0.11,52.1,3.09,2.73,2.3,1,4.46,26.55,25.68,26.54,399.5,388.79,4.629,6.045,12.86,16.79,499.6,400,0,96.8,-4.06,0.14,0.7,111115,,,
Initial,10-Oct,FR10    ,5,a                                     ,22.3,,32,11:17:58,3791,0.127,108,4.19,3.19,2.3,1,4.46,28.28,27.06,28.29,420.33,409.3,2.228,4.147,5.55,10.33,499.7,400,0,96.12,-1.76,0.329,0.7,111115,,,
Final,13-Oct,FR10    ,5,a                                     ,21.9,,12,12:03:54,1868.5,0.112,76.7,3.66,3.17,2.3,1,4.46,27.38,26.22,27.34,419.55,408.79,0.874,2.554,2.31,6.74,499.7,399,1,96.58,-8.64,0.13,0.7,111115,FR10    ,FR10    ,5
Initial,16-Oct,FR10    ,10,b                                     ,11.3,,38,13:44:08,5171.5,0.0493,30.6,1.67,3.3,2.3,1,4.46,27.05,26.29,27.03,419.91,414.37,0.574,1.341,1.57,3.67,499.7,435,1,98.24,-10.3,0.102,1,111115,FR10    ,,
Final,19-Oct,FR10    ,10,b                                     ,7.76,,16,14:13:48,1457.5,0.053,165,1.62,2.99,2.3,1,4.46,24.97,24.38,24.92,419.95,416.07,0.05,0.796,0.15,2.46,499.7,401,1,98.11,-8.9,0.105,0.7,111115,FR10    ,,
Final,19-Sep,FR10    ,13,c                                     ,21.2,,23,12:39:56,3415.5,0.0979,28,3.14,3.11,2.3,1,4.46,27.94,26.83,27.88,401.46,391.16,2.988,4.429,7.66,11.35,499.7,400,0,96.91,0.428,0.0224,0.7,111115,,,
Initial,16-Sep,FR11,14,c,17.4,,33,12:51:22,4423,0.127,154,3.54,2.71,2.3,1,4.46,26.5,25.69,26.46,399.57,390.91,4.583,6.201,12.77,17.27,499.7,400,0,96.79,-4.06,0.14,0.7,111115,,,
Initial,10-Oct,FR11    ,5,a                                     ,22.5,,34,11:22:32,4064.5,0.183,190,5.7,3.05,2.3,1,4.46,28.28,26.69,28.29,420.27,408.83,2.243,4.853,5.59,12.09,499.7,401,1,96.12,-1.76,0.329,0.7,111115,,,
Final,13-Oct,FR11    ,5,a                                     ,18.2,,14,12:07:12,2066.5,0.045,-245,1.57,3.35,2.3,1,4.46,27.49,26.64,27.46,421.07,412.39,0.882,1.605,2.31,4.21,499.6,399,0,96.57,-8.64,0.13,0.7,111115,FR11    ,FR11    ,5
Initial,13-Oct,FR11    ,10,b                                     ,26.6,,44,12:48:37,4552,0.141,83.9,4.52,3.14,2.3,1,4.46,27.74,26.31,27.77,420.37,407.3,1.018,3.092,2.63,7.98,499.7,399,1,96.5,-8.64,0.13,0.7,111115,FR11    ,FR11    ,10
Final,16-Oct,FR11    ,10,b                                     ,24.7,,20,13:07:25,2968.5,0.0672,-194,2.21,3.22,2.3,1,4.46,26.76,26.17,26.73,419.37,407.6,0.895,1.91,2.49,5.32,499.7,399,1,98.22,-10.3,0.102,1,111115,FR11    ,10,b                                     
Final,19-Sep,FR11    ,14,c                                     ,8.39,,20,12:32:51,2990.5,0.0901,227,2.92,3.14,2.3,1,4.46,27.91,26.92,27.87,399.9,395.51,2.988,4.328,7.67,11.11,499.7,401,0,96.91,0.428,0.0224,0.7,111115,,,
Initial,31-Oct,FR11    ,19,d                                     ,30.4,,23,12:28:07,2741,0.205,146,4.84,2.41,2.3,1,4.46,23.16,22.04,23.14,419.37,404.46,0.323,2.545,1.12,8.83,499.7,399,1,98.82,-8.96,0.0883,1,111115,FR11    ,,
Final,3-Nov,FR11    ,19,d                                     ,11.2,,9,11:47:54,2103.5,0.0671,135,1.56,2.31,2.3,1,4.46,20.91,20.19,20.88,420.98,415.54,-0.048,0.668,-0.19,2.67,499.7,400,0,99.2,-9.31,0.104,1,111115,FR11    ,,
