OP4     ,11,c                                     ,8,13:41:12,759,12.2,0.0557,49.3,1.59,2.8,2.3,1,4.46,24.23,23.74,24.11,419.95,414.04,0.79,1.521,2.56,4.93,499.7,400,0,98.36,-6.88,0.141,0.7,111115,OP4     ,11,c                                     
CE8     ,11,c                                     ,9,13:42:29,835.5,9.72,0.074,187,2.06,2.74,2.3,1,4.46,24.3,23.52,24.2,418.66,413.79,0.829,1.773,2.67,5.72,499.8,399,0,98.4,-6.88,0.141,0.7,111115,CE8     ,11,c                                     
CE6     ,11,c                                     ,10,13:43:45,911.5,17.4,0.0881,78.4,2.39,2.68,2.3,1,4.46,24.39,23.29,24.28,418.55,410.1,0.861,1.957,2.76,6.28,499.7,399,0,98.4,-6.88,0.141,0.7,111115,CE6     ,11,c                                     
FR6     ,10,b                                     ,11,13:45:18,1004.5,10.5,0.0494,60.1,1.43,2.83,2.3,1,4.46,24.49,23.92,24.38,420.75,415.62,0.892,1.548,2.85,4.94,499.7,399,0,98.35,-6.88,0.141,0.7,111115,FR6     ,10,b                                     
PI3     ,9,b                                     ,12,13:46:49,1095.5,6.97,0.131,311,3.41,2.6,2.3,1,4.46,24.58,23.15,24.48,417.73,413.87,0.927,2.492,2.94,7.91,499.8,400,0,98.39,-6.88,0.141,0.7,111115,PI3     ,9,b                                     
CE5     ,9,b                                     ,13,13:48:16,1182.5,19.5,0.132,155,3.55,2.68,2.3,1,4.46,24.67,23.65,24.58,419.42,409.78,0.957,2.588,3.02,8.16,499.7,401,0,98.35,-6.88,0.141,0.7,111115,CE5     ,9,b                                     
PI5     ,9,b                                     ,14,13:49:26,1253,8.33,0.0451,103,1.32,2.87,2.3,1,4.46,24.74,24.15,24.64,417.77,413.69,0.987,1.594,3.1,5.01,499.8,399,0,98.4,-6.88,0.141,0.7,111115,PI5     ,9,b                                     
PI4     ,9,b                                     ,15,13:50:43,1329.5,18.5,0.0708,-20.7,2.04,2.83,2.3,1,4.46,24.83,24.12,24.73,420.09,411.21,1.01,1.945,3.16,6.08,499.7,399,0,98.35,-6.88,0.141,0.7,111115,PI4     ,9,b                                     
CE9     ,9,b                                     ,16,13:51:53,1400,21.6,0.124,110,3.38,2.72,2.3,1,4.46,24.92,23.88,24.81,418.5,407.93,1.039,2.589,3.23,8.05,499.7,400,0,98.39,-6.88,0.141,0.7,111115,CE9     ,9,b                                     
CE4     ,9,b                                     ,17,13:52:56,1462.5,29.1,0.0873,-142,2.49,2.81,2.3,1,4.46,24.99,24.16,24.89,420.09,406.23,1.06,2.201,3.28,6.81,499.7,400,0,98.35,-6.88,0.141,0.7,111115,CE4     ,9,b                                     
FR8     ,9,b                                     ,18,13:54:12,1538.5,22.7,0.0938,5.51,2.64,2.78,2.3,1,4.46,25.06,24.09,24.97,420.02,409.08,1.088,2.302,3.35,7.09,499.7,401,0,98.35,-6.88,0.141,0.7,111115,FR8     ,9,b                                     
CE7b    ,9,b                                     ,19,13:55:24,1611,28.5,0.111,-20.8,3.12,2.77,2.3,1,4.46,25.15,24.16,25.05,420.3,406.59,1.118,2.548,3.43,7.81,499.7,401,0,98.35,-6.88,0.141,0.7,111115,CE7b    ,9,b                                     
FR1     ,10,b                                     ,20,13:56:32,1678.5,19.9,0.026,-814,0.794,2.98,2.3,1,4.46,25.22,24.71,25.12,420.04,410.72,1.145,1.51,3.49,4.61,499.7,399,0,98.35,-6.88,0.141,0.7,111115,FR1     ,10,b                                     
OP7     ,10,b                                     ,21,13:59:01,1828,30.2,0.0471,-621,1.42,2.95,2.3,1,4.46,25.37,24.75,25.26,421.49,407.34,1.204,1.857,3.64,5.62,499.7,400,0,98.35,-6.88,0.141,0.7,111115,OP7     ,10,b                                     
CE7b    ,2,a                                     ,22,14:02:22,2028.5,27.9,0.115,2.94,3.24,2.79,2.3,1,4.46,25.48,24.35,25.4,421.15,407.71,1.263,2.751,3.8,8.27,499.7,272,0,98.35,-6.88,0.141,0.7,111115,CE7b    ,2,a                                     
FR12    ,2,a                                     ,23,14:05:38,2225,41.9,0.271,129,6.69,2.53,2.3,1,4.46,25.47,23.83,25.4,420.86,400.35,1.319,4.387,3.97,13.19,499.7,401,0,98.35,-6.88,0.141,0.7,111115,FR12    ,2,a                                     
FR2     ,2,a                                     ,24,14:06:54,2301.5,23.5,0.0998,14.8,2.79,2.76,2.3,1,4.46,25.47,24.15,25.4,419.09,407.77,1.341,2.621,4.03,7.88,499.7,401,0,98.38,-6.88,0.141,0.7,111115,FR2     ,2,a                                     
OP3     ,2,a                                     ,25,14:08:13,2380,32.3,0.394,249,8.79,2.35,2.3,1,4.46,25.47,23.34,25.41,420,403.48,1.364,5.386,4.1,16.21,499.7,399,0,98.4,-6.88,0.141,0.3,111115,OP3     ,2,a                                     
CE1     ,1,a                                     ,26,14:09:19,2446,29.6,0.204,152,5.35,2.66,2.3,1,4.46,25.46,24.21,25.4,420.72,406.1,1.376,3.831,4.14,11.53,499.7,400,0,98.34,-6.88,0.141,0.7,111115,CE1     ,1,a                                     
PI9     ,1,a                                     ,27,14:10:29,2516.5,26.9,0.0956,-60.2,2.74,2.83,2.3,1,4.46,25.47,24.51,25.41,419.18,406.28,1.392,2.649,4.19,7.97,499.7,400,0,98.34,-6.88,0.141,0.7,111115,PI9     ,1,a                                     
PI28    ,1,a                                     ,28,14:11:58,2605.5,39.5,0.156,-25.6,4.24,2.72,2.3,1,4.46,25.47,24.33,25.41,419.15,400.2,1.408,3.354,4.23,10.09,499.7,400,0,98.34,-6.88,0.141,0.7,111115,PI28    ,1,a                                     
PI1     ,1,a                                     ,29,14:13:28,2695.5,30.2,0.125,-3.82,3.48,2.78,2.3,1,4.46,25.48,24.45,25.42,417.57,403.01,1.426,3.024,4.29,9.09,499.8,399,0,98.39,-6.88,0.141,0.7,111115,PI1     ,1,a                                     
PI4     ,1,a                                     ,30,14:14:56,2782.5,36.2,0.104,-171,2.95,2.81,2.3,1,4.46,25.49,24.51,25.42,421.45,404.25,1.437,2.79,4.32,8.38,499.7,401,0,98.34,-6.88,0.141,0.7,111115,PI4     ,1,a                                     
OP4     ,1,a                                     ,31,14:16:26,2873,33.1,0.106,-111,3,2.8,2.3,1,4.46,25.48,24.46,25.42,419.86,404.08,1.448,2.827,4.35,8.5,499.7,399,0,98.34,-6.88,0.141,0.7,111115,OP4     ,1,a                                     
OP5     ,1,a                                     ,32,14:17:53,2960,23.9,0.0442,-463,1.32,2.91,2.3,1,4.46,25.4,24.63,25.35,420.33,409.08,1.438,2.042,4.34,6.17,499.7,399,0,98.34,-6.88,0.141,0.7,111115,OP5     ,1,a                                     
OP1     ,1,a                                     ,33,14:19:02,3029,34,0.0978,-168,2.8,2.82,2.3,1,4.46,25.39,24.53,25.36,419.89,403.73,1.437,2.72,4.34,8.22,499.7,401,0,98.34,-6.88,0.141,0.7,111115,OP1     ,1,a                                     
RE3     ,7,b                                     ,34,14:21:46,3193.5,23,0.118,78,3.27,2.76,2.3,1,4.46,25.44,24.31,25.39,420.29,409.09,1.46,2.961,4.4,8.93,499.8,400,0,98.39,-6.88,0.141,0.7,111115,RE3     ,7,b                                     
PI21    ,7,b                                     ,35,14:23:26,3294,32.7,0.242,165,6.29,2.65,2.3,1,4.46,25.48,24.45,25.43,419.94,403.71,1.47,4.354,4.42,13.09,499.7,400,0,98.34,-6.88,0.141,0.7,111115,PI21    ,7,b                                     
OP2     ,7,b                                     ,36,14:24:48,3375,35.1,0.227,133,5.83,2.61,2.3,1,4.46,25.5,24.15,25.45,419.81,402.59,1.479,4.154,4.44,12.47,499.7,400,0,98.34,-6.88,0.141,0.7,111115,OP2     ,7,b                                     
PI25    ,7,b                                     ,37,14:26:08,3455,30.9,0.0776,-246,2.29,2.9,2.3,1,4.46,25.53,24.85,25.46,419.91,405.24,1.489,2.541,4.46,7.62,499.7,400,0,98.34,-6.88,0.141,0.7,111115,PI25    ,7,b                                     
CE6     ,7,b                                     ,38,14:28:38,3605.5,39.9,0.152,-37.3,4.1,2.68,2.3,1,4.46,25.58,24.13,25.52,420.39,401.29,1.513,3.391,4.52,10.13,499.7,400,0,98.34,-6.88,0.141,0.7,111115,CE6     ,7,b                                     
PI9     ,7,b                                     ,39,14:29:46,3673.5,35.2,0.134,-34.6,3.7,2.74,2.3,1,4.46,25.62,24.35,25.55,420.25,403.36,1.526,3.225,4.55,9.61,499.7,399,0,98.33,-6.88,0.141,0.7,111115,PI9     ,7,b                                     
PI1     ,7,b                                     ,40,14:30:59,3746,27.4,0.363,262,8.17,2.36,2.3,1,4.46,25.62,23.33,25.57,418.28,404.17,1.545,5.287,4.61,15.76,499.7,399,0,98.37,-6.88,0.141,0.3,111115,PI1     ,7,b                                     
OP1     ,7,b                                     ,41,14:32:16,3823.5,27.6,0.153,97.6,4.13,2.7,2.3,1,4.46,25.61,24.26,25.57,419.85,406.36,1.558,3.453,4.64,10.3,499.7,400,0,98.33,-6.88,0.141,0.7,111115,OP1     ,7,b                                     
OP6     ,6,b                                     ,42,14:34:09,3936.5,29.9,0.142,51.1,3.86,2.71,2.3,1,4.46,25.63,24.25,25.59,421.93,407.43,1.574,3.346,4.69,9.97,499.7,400,0,98.33,-6.88,0.141,0.7,111115,OP6     ,6,b                                     
PI12    ,6,b                                     ,43,14:35:29,4017,36.2,0.125,-78.6,3.45,2.73,2.3,1,4.46,25.65,24.29,25.6,419.2,401.89,1.589,3.173,4.73,9.44,499.7,400,0,98.33,-6.88,0.141,0.7,111115,PI12    ,6,b                                     
PL2     ,6,b                                     ,44,14:36:44,4091,41.4,0.169,-12.6,4.53,2.69,2.3,1,4.46,25.66,24.31,25.61,420.54,400.66,1.603,3.679,4.77,10.94,499.7,400,0,98.39,-6.88,0.141,0.7,111115,PL2     ,6,b                                     
PI2     ,6,b                                     ,45,14:38:23,4190,34,0.0983,-165,2.83,2.84,2.3,1,4.46,25.69,24.72,25.63,420.75,404.58,1.612,2.91,4.79,8.64,499.7,399,0,98.33,-6.88,0.141,0.7,111115,PI2     ,6,b                                     
