 ,Area,Mean,Min,Max,Length,Length (mm),,,,,
50,27,84.434,74.866,98.916,26.401,0.039787507,,,,,
51,21,81.563,48.729,127.553,20.1,0.030291613,,,,,
52,102,110.903,43.153,164.827,101.872,0.153525733,,,,,
53,29,96.581,82.812,111.667,28.391,0.042786527,,,,,
54,41,147.455,88.03,255,40.56,0.061125763,,,,,
55,25,76.18,31.781,109.531,24.187,0.036450908,,,,,
56,112,107.776,57.851,150.935,113.043,0.170360937,,,,,
57,12,69.055,39.971,96.188,11.314,0.017050712,,,,,
58,79,102.192,61.605,126.989,78.17,0.117805742,,,,,
59,42,81.481,40.478,107.576,41.774,0.062955316,,,,,
60,75,114.369,57.769,255,74.26,0.111913194,,,,,
61,48,86.39,26.264,122.608,47.822,0.072069927,,,,,
62,50,63.259,39.216,88.908,49.887,0.075181976,,,,,
63,97,120.554,77.178,145.461,97.183,0.146459197,,,,,
64,75,107.933,72.353,132.523,74.898,0.112874689,,,,,
65,185,135.366,78.286,163.49,185.115,0.278976716,,,,,
66,285,127.849,69.101,148.152,285.046,0.429577274,,,,,
67,337,138.55,63.448,255,336.521,0.507152438,,,,,
68,68,95.087,53.353,116.75,67.881,0.102299751,,,,,
69,76,116.707,72.973,141.37,75.333,0.113530254,,,,,
70,249,116.911,53.434,136.298,248.704,0.374808228,,,,,
71,168,99.998,19.519,149.811,167.307,0.252139251,,,,,
72,362,130.212,24.887,159.209,361.201,0.544346319,,,,,
73,129,91.879,54.405,122.448,128.86,0.194197875,,,,,
74,75,115.112,35.95,255,74.634,0.112476829,,,,,
75,76,116.652,65.993,255,75.471,0.113738226,,,,,
76,100,116.079,58.667,255,99.68,0.150222289,,,,,
77,267,141.399,65,169.387,266.444,0.401543215,,,,,
78,85,122.63,66.633,255,84.903,0.127952679,,,,,
79,81,110.379,63.115,141.864,81.13,0.122266596,,,,,
80,31,86.046,56.615,98.717,30.667,0.046216562,,,,,
81,119,135.037,77.687,153.149,118.241,0.17819456,,,,,
82,45,109.567,65.861,136.566,44.171,0.066567704,,,,,
83,49,105.802,48.88,145.165,48.899,0.073693015,,,,,
84,109,163.173,123.676,176.511,108.28,0.16318288,,,,,
85,56,114.529,67.492,131.699,55.411,0.083506895,,,,,
86,23,80.142,68.322,95.742,22.847,0.034431467,,,,,
87,35,100.016,78.444,220.974,34.731,0.052341195,,,,,
88,104,107.232,76.804,127.583,103.665,0.156227865,,,,,
89,97,84.757,40.241,133.907,96.925,0.146070379,,,,,
90,20,98.042,78.74,114,19.416,0.029260794,,,,,
91,44,126.209,87.684,152.519,43.681,0.065829252,,,,,
92,32,92.412,76.276,109.568,31.321,0.04720217,,,,,
93,83,120.43,83.473,150.465,82.901,0.124935574,,,,,
94,58,115,79.063,134.403,57.84,0.087167508,,,,,
95,24,41.995,27.696,50.832,23.431,0.035311582,,,,,
96,22,112.052,75.782,134.818,21.401,0.032252279,,,,,
97,15,80.677,48.755,97,14.318,0.021577877,,,,,
98,21,70.435,44.83,94.129,20.248,0.030514656,,,,,
99,54,82.071,48.457,128.869,53.301,0.080327029,,,,,
100,110,141.416,111.74,255,110.568,0.166631,,,,,
101,18,105.46,72.548,138.346,17.088,0.025752392,,,,,
102,15,109.822,77.411,131.186,14.142,0.021312637,,,,,
103,15,84.55,76.103,94.681,14.142,0.021312637,,,,,
104,50,147.637,55.87,255,49.101,0.073997438,,,,,
105,12,66.98,56.383,83.881,11.18,0.016848768,,,,,
106,45,65.432,33.429,90.38,44.859,0.067604551,,,,,
107,13,66.215,48.995,87.577,12.53,0.018883279,,,,,
108,14,66.947,42.898,90.358,13.454,0.020275789,,,,,
109,14,42.756,20.627,83.202,13.416,0.020218522,,,,,
110,13,80.932,60.275,104.162,12.728,0.019181674,,,,,
111,14,70.824,55.931,87.763,13.038,0.019648858,,,,,
112,24,81.243,70.268,98.426,23.366,0.035213624,,,,,
113,16,103.813,54.553,128.23,15.811,0.023827895,,,,,
114,47,105.214,35.357,255,46.4,0.069926908,,,,,
115,37,93.197,65.528,111.669,37.579,0.05663326,,,,,
116,41,71.1,30,90,40.183,0.060557607,,,,,
117,15,77.928,65.826,90.716,14.422,0.021734609,,,,,
118,22,70.322,42.16,105.088,21.587,0.03253259,,,,,
119,18,102.368,51.667,131.214,19.258,0.029022681,,,,,
120,53,88.203,54.361,113.432,52.932,0.079770929,,,,,
121,33,91.175,74.718,114.48,32.757,0.049366287,,,,,
122,25,84.054,73.14,108.667,24.166,0.03641926,,,,,
123,36,95.179,58.333,118.638,35.302,0.053201718,,,,,
124,20,93.363,72.137,110.081,19.142,0.028847864,,,,,
125,37,110.647,74.946,137.005,36.471,0.054963454,,,,,
126,49,52.764,37.107,77.373,48.83,0.073589029,,,,,
127,49,120.224,48.646,255,48.674,0.07335393,,,,,
128,38,105.629,67.987,128.73,37.496,0.056508176,,,,,
129,14,53.657,47.914,59.989,13.601,0.020497325,,,,,
130,21,26.382,15.514,41.539,20.926,0.031536433,,,,,
131,47,105.802,51.839,255,46.978,0.070797981,,,,,
132,25,94.109,60.379,119,24.187,0.036450908,,,,,
133,20,83.702,63.53,97,19.416,0.029260794,,,,,
134,24,87.93,71.619,110.863,23.264,0.035059905,,,,,
135,21,104.48,85.216,117.303,20.809,0.031360109,,,,,
136,36,98.743,39.159,255,37.488,0.056496119,,,,,
137,16,67.345,59.602,77.635,15.524,0.023395373,,,,,
138,15,72.209,45.093,91.828,14.387,0.021681863,,,,,
139,25,89.363,79.459,107.565,24.739,0.037282797,,,,,
140,19,95.927,67,113.667,18.403,0.027734157,,,,,
141,70,72.403,34.436,94,69.781,0.105163138,,,,,
142,38,39.359,22.15,52.772,37.927,0.057157712,,,,,
143,68,113.042,42,255,67.989,0.102462512,,,,,
144,30,63.941,42.667,73.253,29.498,0.044454826,,,,,
145,32,33.369,23.263,56,31.641,0.047684425,,,,,
146,33,33.457,28.067,39.32,32.87,0.049536584,,,,,
147,24,62.049,36.315,89.404,23.485,0.035392962,,,,,
148,20,50.857,37.384,62.826,19.363,0.029180921,,,,,
149,28,40.888,32.656,52.667,27.98,0.042167131,,,,,
150,36,82.638,51.88,119.576,35.36,0.053289127,,,,,
151,30,48.909,37.684,63.445,30.028,0.04525356,,,,,
152,44,94.202,58.533,120.803,43.232,0.065152588,,,,,
153,22,77.976,52.647,101.601,21.803,0.032858112,,,,,
