objectid,reporter,RecOwner,SciName,ComName,Nativity,OccStatus,Status,ObsDate,DateEnt,DateUp,Location,Latitude,Longitude,Datum,Method,CoordAcc,DataType,Centroid,Abundance,InfestAcre,GrossAcre,Percentcov,Density,Quantity,QuantityU,APPXQuant,NumCollect,Smallest,Largest,Incidence,Severity,Host,Host_Name,HostPheno,HostDamage,ManageStat,PopStat,Habitat,LocalOwner,Site,RecBasis,Museum,MuseumRec,Voucher,ObsIDer,CollectTme,UUID,OrgSrcID,OrigName,RecSrcTyp,Surveyor,DateAcc,VisitType,DataMthd,TrapType,NumTraps,TargetName,TargetCnt,TargetRnge,Phenology,LifeStatus,Sex,PID,WaterName,WaterType,Substrate,TreatArea,PlantTreat,TreatComm,Reference,Locality,Comments,ReviewDate,Reviewer,VerifyMthd,Verified,IDCred,ReviewComm
"5334",USDA PLANTS Database USDA NRCS,Herbarium/Literature/Museum,Solanum carolinense,horsenettle,Native,Detected,Positive,,03-05-08,03-05-08,"""Gilmer, West Virginia, United States""",,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,Bulk Data,,,,,,,,,,,,,,,,,,,,"""West Virginia county level data""",,,,,,Verified,,
"5351",USDA PLANTS Database USDA NRCS,Herbarium/Literature/Museum,Solanum carolinense,horsenettle,Native,Detected,Positive,,03-05-08,03-05-08,"""Perry, Indiana, United States""",,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Deam, C.C. 1940. Flora of Indiana. Wm.B. Burford Printing Co., Indianapolis""",,,,,,Verified,,
"5598",USDA PLANTS Database USDA NRCS,Herbarium/Literature/Museum,Solanum carolinense,horsenettle,Native,Detected,Positive,,03-05-08,03-05-08,"""Perquimans, North Carolina, United States""",,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Radford, A.E., H.A. Ahles, and C.R. Bell. 1965. Atlas of the vascular flora of the Carolinas. Department of Botany Technical Bulletin No. 165. Chapel Hill""",,,,,,Verified,,
"5718",USDA PLANTS Database USDA NRCS,Herbarium/Literature/Museum,Solanum carolinense,horsenettle,Native,Detected,Positive,,03-05-08,03-05-08,"""Reno, Kansas, United States""",,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,Bulk Data,,,,,,,,,,,,,,,,,,,,"""McGregor, R.L., et al. 1977. Atlas of the flora of the Great Plains. Iowa State University Press, Ames""",,,,,,Verified,,
"6284",USDA PLANTS Database USDA NRCS,Herbarium/Literature/Museum,Solanum carolinense,horsenettle,Native,Detected,Positive,,03-05-08,03-05-08,"""Summit, Ohio, United States""",,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Cooperrider, T.S. 1995. The Dicotyledoneae of Ohio. Part 2: Linaceae through Campanulaceae. Ohio State University Press, Columbus""",,,,,,Verified,,
"6289",USDA PLANTS Database USDA NRCS,Herbarium/Literature/Museum,Solanum carolinense,horsenettle,Native,Detected,Positive,,03-05-08,03-05-08,"""Lawrence, Ohio, United States""",,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Cooperrider, T.S. 1995. The Dicotyledoneae of Ohio. Part 2: Linaceae through Campanulaceae. Ohio State University Press, Columbus""",,,,,,Verified,,
"6648",USDA PLANTS Database USDA NRCS,Herbarium/Literature/Museum,Solanum carolinense,horsenettle,Native,Detected,Positive,,03-05-08,03-05-08,"""Chautauqua, New York, United States""",,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,Bulk Data,,,,,,,,,,,,,,,,,,,,"""New York Flora Association. 1990. Preliminary vouchered atlas of New York State flora, ed. 1. New York State Museum Institute, Albany""",,,,,,Verified,,
"6868",USDA PLANTS Database USDA NRCS,Herbarium/Literature/Museum,Solanum carolinense,horsenettle,Native,Detected,Positive,,03-05-08,03-05-08,"""Grant, Kentucky, United States""",,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Campbell, Julian. Personal communication""",,,,,,Verified,,
"6978",USDA PLANTS Database USDA NRCS,Herbarium/Literature/Museum,Solanum carolinense,horsenettle,Native,Detected,Positive,,03-05-08,03-05-08,"""Oneida, New York, United States""",,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,Bulk Data,,,,,,,,,,,,,,,,,,,,"""New York Flora Association. 1990. Preliminary vouchered atlas of New York State flora, ed. 1. New York State Museum Institute, Albany""",,,,,,Verified,,
"7018",USDA PLANTS Database USDA NRCS,Herbarium/Literature/Museum,Solanum carolinense,horsenettle,Native,Detected,Positive,,03-05-08,03-05-08,"""Unicoi, Tennessee, United States""",,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Chester, E.W., B.E. Wofford, R. Kral, H.R. DeSelm, and A.M. Evans. 1993. Atlas of Tennessee vascular plants. 2 vols. Center for Field Biology Miscellaneous Publication No. 9/13. Austin Peay State University, Clarksville""",,,,,,Verified,,
"7377",USDA PLANTS Database USDA NRCS,Herbarium/Literature/Museum,Solanum carolinense,horsenettle,Native,Detected,Positive,,03-05-08,03-05-08,"""Roanoke, Virginia, United States""",,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Harvill, A.M., C.E. Stevens, and D.M.E. Ware. 1977. Atlas of the Virginia flora, Part I. Petridophytes through monocotyledons. Virginia Botanical Associates, Farmville""",,,,,,Verified,,
"7772",USDA PLANTS Database USDA NRCS,Herbarium/Literature/Museum,Solanum carolinense,horsenettle,Native,Detected,Positive,,03-05-08,03-05-08,"""Anderson, South Carolina, United States""",,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Radford, A.E., H.A. Ahles, and C.R. Bell. 1965. Atlas of the vascular flora of the Carolinas. Department of Botany Technical Bulletin No. 165. Chapel Hill""",,,,,,Verified,,
"7904",USDA PLANTS Database USDA NRCS,Herbarium/Literature/Museum,Solanum carolinense,horsenettle,Native,Detected,Positive,,03-05-08,03-05-08,"""Montgomery, Arkansas, United States""",,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Smith, E.B. 1988. An atlas and annotated list of the vascular plants of Arkansas, 2d ed.""",,,,,,Verified,,
"7967",USDA PLANTS Database USDA NRCS,Herbarium/Literature/Museum,Solanum carolinense,horsenettle,Native,Detected,Positive,,03-05-08,03-05-08,"""Mercer, Missouri, United States""",,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,Bulk Data,,,,,,,,,,,,,,,,,,,,"""McGregor, R.L., et al. 1977. Atlas of the flora of the Great Plains. Iowa State University Press, Ames""",,,,,,Verified,,
"8004",USDA PLANTS Database USDA NRCS,Herbarium/Literature/Museum,Solanum carolinense,horsenettle,Native,Detected,Positive,,03-05-08,03-05-08,"""Rowan, Kentucky, United States""",,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Campbell, Julian. Personal communication""",,,,,,Verified,,
"8151",USDA PLANTS Database USDA NRCS,Herbarium/Literature/Museum,Solanum carolinense,horsenettle,Native,Detected,Positive,,03-05-08,03-05-08,"""Hamilton, Tennessee, United States""",,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Chester, E.W., B.E. Wofford, R. Kral, H.R. DeSelm, and A.M. Evans. 1993. Atlas of Tennessee vascular plants. 2 vols. Center for Field Biology Miscellaneous Publication No. 9/13. Austin Peay State University, Clarksville""",,,,,,Verified,,
"8246",USDA PLANTS Database USDA NRCS,Herbarium/Literature/Museum,Solanum carolinense,horsenettle,Native,Detected,Positive,,03-05-08,03-05-08,"""Howard, Indiana, United States""",,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Deam, C.C. 1940. Flora of Indiana. Wm.B. Burford Printing Co., Indianapolis""",,,,,,Verified,,
"8401",USDA PLANTS Database USDA NRCS,Herbarium/Literature/Museum,Solanum carolinense,horsenettle,Native,Detected,Positive,,03-05-08,03-05-08,"""Lee, Arkansas, United States""",,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Smith, E.B. 1988. An atlas and annotated list of the vascular plants of Arkansas, 2d ed.""",,,,,,Verified,,
"8521",USDA PLANTS Database USDA NRCS,Herbarium/Literature/Museum,Solanum carolinense,horsenettle,Native,Detected,Positive,,03-05-08,03-05-08,"""Houghton, Michigan, United States""",,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Voss, E.G. 1985. Michigan flora. Cranbrook Institute of Science, Bloomfield Hills""",,,,,,Verified,,
"8740",USDA PLANTS Database USDA NRCS,Herbarium/Literature/Museum,Solanum carolinense,horsenettle,Native,Detected,Positive,,03-05-08,03-05-08,"""Fulton, Ohio, United States""",,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Cooperrider, T.S. 1995. The Dicotyledoneae of Ohio. Part 2: Linaceae through Campanulaceae. Ohio State University Press, Columbus""",,,,,,Verified,,
"8924",USDA PLANTS Database USDA NRCS,Herbarium/Literature/Museum,Solanum carolinense,horsenettle,Native,Detected,Positive,,03-05-08,03-05-08,"""Richardson, Nebraska, United States""",,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,Bulk Data,,,,,,,,,,,,,,,,,,,,"""McGregor, R.L., et al. 1977. Atlas of the flora of the Great Plains. Iowa State University Press, Ames""",,,,,,Verified,,
"9033",USDA PLANTS Database USDA NRCS,Herbarium/Literature/Museum,Solanum carolinense,horsenettle,Native,Detected,Positive,,03-05-08,03-05-08,"""Isle of Wight, Virginia, United States""",,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Harvill, A.M., C.E. Stevens, and D.M.E. Ware. 1977. Atlas of the Virginia flora, Part I. Petridophytes through monocotyledons. Virginia Botanical Associates, Farmville""",,,,,,Verified,,
"9091",USDA PLANTS Database USDA NRCS,Herbarium/Literature/Museum,Solanum carolinense,horsenettle,Native,Detected,Positive,,03-05-08,03-05-08,"""Brown, Wisconsin, United States""",,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,Bulk Data,,,,,,,,,,,,,,,,,,,,"""University of Wisconsin. Wisconsin vascular plants ( http://wiscinfo.doit.wisc.edu/herbarium/). Wisconsin State Herbarium: University of Wisconsin - Madison""",,,,,,Verified,,
"9878",USDA PLANTS Database USDA NRCS,Herbarium/Literature/Museum,Solanum carolinense,horsenettle,Native,Detected,Positive,,03-05-08,03-05-08,"""King George, Virginia, United States""",,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Harvill, A.M., C.E. Stevens, and D.M.E. Ware. 1977. Atlas of the Virginia flora, Part I. Petridophytes through monocotyledons. Virginia Botanical Associates, Farmville""",,,,,,Verified,,
"10130",USDA PLANTS Database USDA NRCS,Herbarium/Literature/Museum,Solanum carolinense,horsenettle,Native,Detected,Positive,,03-05-08,03-05-08,"""Audubon, Iowa, United States""",,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,Bulk Data,,,,,,,,,,,,,,,,,,,,"""McGregor, R.L., et al. 1977. Atlas of the flora of the Great Plains. Iowa State University Press, Ames""",,,,,,Verified,,
"10281",USDA PLANTS Database USDA NRCS,Herbarium/Literature/Museum,Solanum carolinense,horsenettle,Native,Detected,Positive,,03-05-08,03-05-08,"""Logan, West Virginia, United States""",,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,Bulk Data,,,,,,,,,,,,,,,,,,,,"""West Virginia county level data""",,,,,,Verified,,
"10344",USDA PLANTS Database USDA NRCS,Herbarium/Literature/Museum,Solanum carolinense,horsenettle,Native,Detected,Positive,,03-05-08,03-05-08,"""Jefferson, Pennsylvania, United States""",,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Rhoads, A.F., and W.M. Klein, Jr. 1993. The vascular flora of Pennsylvania. Annotated checklist and atlas. American Philosophical Society, Philadelphia""",,,,,,Verified,,
"10368",USDA PLANTS Database USDA NRCS,Herbarium/Literature/Museum,Solanum carolinense,horsenettle,Native,Detected,Positive,,03-05-08,03-05-08,"""Stephenson, Illinois, United States""",,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Mohlenbrock, R.H. 1986. Guide to the vascular flora of Illinois, rev. ed. Southern Illinois University Press, Carbondale and Edwardsville""",,,,,,Verified,,
"10740",USDA PLANTS Database USDA NRCS,Herbarium/Literature/Museum,Solanum carolinense,horsenettle,Native,Detected,Positive,,03-05-08,03-05-08,"""Dunklin, Missouri, United States""",,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Weber, W.R., and W.T. Corcoran. 1993. Atlas of Missouri vascular plants. Unpublished. Southwest Missouri State University and the Missouri Native Plant Society""",,,,,,Verified,,
"10751",USDA PLANTS Database USDA NRCS,Herbarium/Literature/Museum,Solanum carolinense,horsenettle,Native,Detected,Positive,,03-05-08,03-05-08,"""Lycoming, Pennsylvania, United States""",,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Rhoads, A.F., and W.M. Klein, Jr. 1993. The vascular flora of Pennsylvania. Annotated checklist and atlas. American Philosophical Society, Philadelphia""",,,,,,Verified,,
"11268",USDA PLANTS Database USDA NRCS,Herbarium/Literature/Museum,Solanum carolinense,horsenettle,Native,Detected,Positive,,03-05-08,03-05-08,"""Kings, New York, United States""",,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,Bulk Data,,,,,,,,,,,,,,,,,,,,"""New York Flora Association. 1990. Preliminary vouchered atlas of New York State flora, ed. 1. New York State Museum Institute, Albany""",,,,,,Verified,,
